UMAP1,UMAP2,label
-1.9681883,-3.5887315,intron
-1.8844912,-3.6024199,intron
-1.5414118,-3.4190476,intron
-1.9320776,-3.4825919,intron
-1.990997,-3.4742742,intron
-1.9771459,-3.2541845,intron
-2.0092773,-3.3137178,intron
-2.104555,-3.2377393,intron
-2.0740044,-3.2190382,intron
-2.0933158,-3.2705734,intron
-1.6391948,-3.0221276,intron
-1.2402569,-2.593859,intron
1.9516356,3.8437977,intron
2.145665,3.668155,intron
1.9788699,3.8728662,intron
2.2974532,4.313492,intron
2.1712525,4.4495173,intron
2.121354,4.5193152,intron
1.9489645,4.469388,intron
1.4859123,4.4568663,intron
0.9848375,3.746564,intergenic
-0.6963371,-3.6282656,intergenic
-3.0833902,0.34061608,intergenic
-2.9778824,0.5247351,intergenic
-2.942892,0.59582174,intergenic
-2.9212885,0.6085786,intergenic
-2.8395462,0.6896736,intergenic
-2.658143,0.94613063,intergenic
-2.720138,0.9012229,intergenic
-2.6623662,0.9023361,intergenic
-2.7300332,0.8827329,intergenic
-2.7285585,0.8551562,intergenic
-2.7483506,0.82738876,intergenic
-2.8325844,0.7055776,intergenic
-2.7029858,0.70387185,intergenic
-2.6358361,0.7520617,intergenic
-2.597521,0.6743154,intergenic
-2.5378022,0.7866002,intergenic
-2.3757668,0.88743865,intergenic
-2.1589694,0.9320106,intergenic
-2.1002285,0.91010815,intergenic
-2.0670552,0.95959944,intergenic
-2.038092,0.9578558,intergenic
-1.8811828,1.1745502,intergenic
-1.2056018,1.6585661,intergenic
-0.7793966,1.7550493,intergenic
-0.87618643,1.7021502,intergenic
-1.3242089,1.8614937,intergenic
-1.367946,1.9253855,intergenic
-1.5429307,2.0777104,intergenic
-2.092416,2.6971834,intergenic
-2.0325143,2.6939857,intergenic
-2.015844,2.6373668,intergenic
-1.5642618,2.111849,intergenic
-1.3197445,2.137043,intergenic
-1.0657496,2.374132,intergenic
-0.8727753,2.4250073,intergenic
1.8351349,2.4269524,intergenic
5.9665008,1.8844674,intergenic
8.831624,3.13977,intergenic
9.44453,3.4486995,intergenic
8.331642,4.7285056,intergenic
8.36811,4.8243136,intergenic
8.53651,4.541704,intergenic
8.326991,4.868828,intergenic
8.856585,4.122425,intergenic
9.616449,3.3876588,intergenic
8.132447,4.73894,intergenic
7.9585257,4.650313,intergenic
7.6039286,4.536839,intergenic
7.4063306,4.088019,intergenic
7.5781155,3.9869692,intergenic
7.644098,3.803347,intergenic
7.8311787,3.800919,intergenic
8.430603,3.5923398,intergenic
9.827944,1.3458518,intergenic
11.657161,-0.03185682,intergenic
9.979122,0.39363,intergenic
10.168441,-0.11103988,intergenic
9.719025,-0.34200272,intergenic
9.561501,-0.7427547,intergenic
9.135617,-1.7960715,intergenic
9.74373,-1.1351724,intergenic
9.884473,-0.50809515,intergenic
8.570676,1.8099736,intergenic
8.331289,3.1869233,intergenic
7.645853,4.6103034,intergenic
7.733484,4.6360083,intergenic
8.046375,4.780762,intergenic
9.675799,2.8144026,intergenic
10.129658,-0.24982883,intergenic
9.978719,-1.2091981,intergenic
9.607128,-1.8481873,intergenic
9.437159,-2.0640483,intergenic
9.459342,-2.0696394,intergenic
9.778395,-1.6465427,intergenic
9.113789,-2.3228612,intergenic
9.456747,-1.9870546,intergenic
9.6597805,-1.811427,intergenic
9.707324,-1.714015,intergenic
9.81893,-1.6304976,intergenic
9.967813,-1.5112858,intergenic
9.897671,-1.4924749,intergenic
10.256863,-0.8611998,intergenic
10.177552,-0.6032875,intergenic
10.025438,-0.41551203,intergenic
9.639043,-0.20920502,intergenic
5.9419565,1.776617,intergenic
4.9075737,2.2122517,intergenic
5.399349,2.4435575,intergenic
5.01339,2.29649,intergenic
5.057642,2.405105,intergenic
4.686459,2.4395208,intergenic
4.903209,2.6608996,intergenic
5.624603,3.0601315,intergenic
5.9361563,3.0574534,intergenic
6.4083123,3.158747,intergenic
6.519477,2.8952308,intergenic
6.888802,2.85259,intergenic
7.41941,2.3443406,intergenic
7.9083195,2.0850585,intergenic
8.391835,1.8623943,intergenic
8.834955,1.2724997,intergenic
9.999806,2.7015316,intergenic
11.569989,2.581553,intergenic
11.869121,2.2310932,intergenic
12.10499,2.2548635,intergenic
11.864066,2.3173685,intergenic
11.111601,1.9726068,intergenic
9.90166,1.642078,intergenic
10.087031,1.7300589,intergenic
9.979355,1.0134118,intergenic
9.867988,1.4033762,intergenic
10.778603,2.3200889,intergenic
9.846603,0.69933677,intergenic
9.787853,0.3433986,intergenic
9.829964,0.16851161,intergenic
9.542752,0.34369874,intergenic
9.311235,0.46820843,intergenic
9.659804,0.075735465,intergenic
9.678013,-0.5063701,intergenic
9.859287,-0.9966675,intergenic
10.108315,-1.1552534,intergenic
10.03191,-1.1561946,intergenic
10.209873,-1.2276462,intergenic
10.184064,-1.2410096,intergenic
9.98938,-1.4078027,intergenic
9.358317,-2.0123196,intergenic
9.695962,-1.2671299,intergenic
9.23796,-1.3439302,intergenic
9.713633,-0.9137611,intergenic
9.702908,-0.6348758,intergenic
9.435194,-0.34676948,intergenic
9.553975,-0.16944411,intergenic
9.384228,-0.38332698,intergenic
9.467473,-0.2434595,intergenic
9.139704,-0.6152206,intergenic
8.782164,-0.97764975,intergenic
8.887625,-1.1984602,intergenic
9.456988,-1.1438563,intergenic
8.773172,-1.4131932,intergenic
8.895411,-1.3988059,intergenic
9.494191,-1.306682,intergenic
9.579846,-1.2454841,intergenic
8.728458,-1.9785017,intergenic
8.339636,-2.3690722,intergenic
4.2639966,3.0801792,intron
3.9875844,3.1071992,intron
3.4019914,2.9530184,intron
2.8945427,2.9152668,intron
2.38982,3.0598595,intron
2.8930142,2.9649756,intron
3.9494681,2.8633904,intron
4.548089,3.0915031,intron
4.4920683,3.1103604,intron
4.1937914,3.0711493,intron
4.2046294,3.0749984,intergenic
4.3142715,3.1433303,intergenic
4.579568,3.1020458,intergenic
4.60185,3.0436814,intergenic
4.659669,3.0379064,intergenic
2.7736137,3.247665,intergenic
4.176114,2.7725568,intergenic
5.313393,2.616829,intergenic
5.0937834,2.873787,intergenic
5.0845923,2.8847108,intergenic
5.0636945,2.911796,intergenic
4.903202,2.9628117,intergenic
4.6629615,3.0218825,intergenic
4.474393,2.9582431,intergenic
3.5432894,3.1328633,intergenic
4.154158,3.11546,intergenic
3.8859324,3.1010885,intergenic
2.4141839,3.6897335,intergenic
1.414138,3.8703697,intergenic
1.4574127,3.2316275,intergenic
1.4725697,3.2709453,intergenic
1.472358,3.2939253,intergenic
1.5133429,3.297052,intergenic
1.3546612,3.3201668,intergenic
1.4119698,3.2879672,intergenic
1.4378766,3.285377,intergenic
1.4060844,3.2803795,intergenic
3.0560932,3.4344463,intergenic
2.7857282,5.7454243,intergenic
2.752815,5.7504654,intergenic
2.7594638,5.782949,intergenic
0.26662394,6.1935883,intergenic
-0.32645035,5.696438,intergenic
0.06204315,4.865935,intergenic
0.1772759,4.698677,intergenic
0.13194993,4.4380527,intergenic
0.50533867,4.150191,intergenic
1.660203,3.5632112,intergenic
1.1379381,3.6969936,intergenic
-1.5568361,-2.8439703,intergenic
-1.4540118,-2.8774183,intergenic
-1.149394,-2.5735238,intergenic
2.1298456,3.5626338,intergenic
2.2430992,3.5314605,intergenic
1.7820079,3.9039772,intergenic
2.5225244,4.2633796,intergenic
2.1325037,4.440392,intergenic
2.196535,4.659918,intergenic
1.9382926,4.487487,intergenic
1.4145713,4.469899,intergenic
1.4198239,4.4999175,intergenic
1.5282153,5.557811,intergenic
1.5455366,6.9875107,intergenic
1.8517483,7.2267876,intergenic
1.736366,7.247587,intergenic
1.4803048,7.0975723,intergenic
0.23304851,6.303069,intergenic
-0.45508927,5.66687,intergenic
-0.213313,4.785554,intergenic
-0.177037,4.234924,intergenic
0.33145234,4.094297,intergenic
1.3437684,3.6119964,intergenic
5.630822,2.1957035,intergenic
3.5476272,4.2845116,intergenic
3.661252,4.0025783,intergenic
3.277857,4.223549,intergenic
3.2225375,4.7679334,intergenic
3.397278,4.8647943,intergenic
6.5145974,2.4049015,intergenic
8.81683,1.115569,intergenic
9.40963,0.1150927,intergenic
9.854681,-0.28198996,intergenic
10.087108,-0.3724506,intergenic
10.067292,-0.10264504,intergenic
10.012323,-0.13937137,intergenic
10.018538,0.15044262,intergenic
9.461018,0.48652786,intergenic
9.925917,2.7048934,intergenic
10.006516,1.8490582,intergenic
9.851221,2.847179,intergenic
8.905083,4.3115606,intergenic
8.886487,4.482846,intergenic
